"","Brand","Variety","Style","Country","Stars","Top.Ten","perc_salt"
"658","Conimex","Oriental Noodles Teriyaki","Cup","Netherlands",0.5,"",9.54695858109573
"659","Mie Sedaap","Instant Cup Mi Kuah Rasa Baso Spesial","Cup","Indonesia",1.5,"",14.7110417922029
"660","Nissin","Cup Noodles Ramen Noodle Soup Chicken Flavor [New Package]","Cup","USA",3.5,"",21.0155601511908
"661","Itsuki","Ramen Tonkotudou Kumamoto Noodles","Pack","Japan",0.75,"",11.390461062647
"662","Maruchan","Shiroi Chikara Mochi Udon","Bowl","Japan",4.5,"",21.1061603822287
"663","iMee","Instant Noodles chicken Flavour","Pack","Netherlands",3.5,"",19.7485471163557
"664","IbuRamen","Mi Goreng Bento Noodles In A Box Hot Sweet & Sour Flavor","Tray","USA",0.25,"",7.78347948898541
"665","Nissin","Soba Fried Noodles Teriyaki","Pack","Germany",3,"",18.6332458241807
"666","Itsuki","Yuzu Sesame Sauce Udon","Bowl","Japan",4.5,"",18.5213940107867
"667","Prima","Juzz's Mee Curry Flavour","Pack","Singapore",5,"",19.1918552304073
"668","Thai Smile","Mushroom Rice Noodle Soup Bowl","Bowl","USA",0,"",6.87187925962192
"669","MAMA","Instant Noodles Chicken Sichek Flavour","Pack","Myanmar",3.75,"",19.8328311466093
"670","Nissin","Emergency Chikin Ramen Cup Noodle","Cup","Japan",5,"",19.9143987971121
"671","Nissin","Chow Mein Pad Thai","Tray","USA",3,"",17.9921069034155
"672","Asia Gold","Instant Noodles With Chicken Flavouring","Pack","Hungary",3.5,"",19.7246970119114
"673","Nissin","Kuroma-yu Tonkotsu Kumamoto Ramen","Bowl","Japan",4.75,"",19.2720078499987
"674","Prima Taste","Singapore Curry Wholegrain La Mian","Pack","Singapore",5,"2016 #5",18.7384120220497
"675","Vifon","Chicken Flavour Asian Style Instant Noodles","Pack","Vietnam",3.5,"",18.9177030400903
"676","Pirkka","Nuudeli Kana Nudlar Kyckling","Pack","Finland",3.5,"",20.1817852629698
"677","Bonasia","Instant Noodles Duck Flavour","Pack","Hungary",3,"",17.3596352307078
"678","Higashimaru","Tonkotsu Ramen","Pack","Japan",4.5,"",19.1695096929478
"679","MAMA","Seafood Tom Yum Sichek Flavour","Pack","Myanmar",5,"",18.3605751844171
"680","Prima","Juzz's Mee Original Spicy Flavour","Pack","Singapore",5,"",17.9949037042552
"681","Ibumie","Always Mi Goreng Perisa Kari Kapitan","Pack","Malaysia",5,"",16.6883368015457
"682","Koh Thai","Island Of Flavours Thai Royal Shrimp Instant Noodles","Pack","Netherlands",1.5,"",14.5660064137335
"683","Master Kong","Spicy Fish Noodle","Bowl","China",3,"",17.9082132680688
"684","Nissin","Cup Noodle Massaman Curry","Cup","Japan",3.5,"",20.7385733871265
"685","Asia Gold","Instant Noodles Duck Flavour","Pack","Hungary",3.5,"",20.5620517432482
"686","Maruchan","Seimen Houjyun Koku Shoyu","Bowl","Japan",5,"",18.0349701126178
"687","MAMA","Rangers Snack Noodles BBQ Flavour","Pack","Myanmar",2.75,"",17.1677393310157
"688","Nissin","Cup Noodle Sio","Cup","Japan",5,"",19.9642774115496
"689","Ottogi","Cheese Ramen","Pack","South Korea",4,"",19.95053177479
"690","Nissin","Cup Noodles Homestyle Chicken","Cup","USA",3.5,"",21.0900570645523
"691","Kuriki","Beef Tongue Shio Mayo Ramen","Pack","Japan",4.5,"",20.483882439668
"692","MAMA","Rangers Snack Noodles Sour Cream Flavour","Pack","Myanmar",2.75,"",17.2390882415692
"693","Nissin","Cup Noodles Kyushu White Flavour","Cup","Singapore",3.5,"",19.9513030025188
"694","Myojo","Mee Poh Dry","Pack","Singapore",4.25,"",19.2600223655735
"695","Myojo","Chicken Abalone Flavour","Bowl","Singapore",3.75,"",21.5029446232484
"696","Myojo","Ramen Char Mee 100","Pack","Singapore",3,"",20.1530826713031
"697","Myojo","La Ramen Spicy Mushroom Flavour Big Bowl","Bowl","Singapore",4.5,"",20.3186908124529
"698","Myojo","Mee Goreng","Pack","Singapore",4,"",18.8405919073597
"699","Myojo","La Ramen Spicy Lobster Hot Pot Flavour Big Bowl","Bowl","Singapore",4.75,"",19.2085539971604
"700","Myojo","Chicken Abalone Flavour","Pack","Singapore",3.5,"",19.8297807587618
"701","Myojo","Thai Tom Yam Flavour","Bowl","Singapore",3.75,"",21.6520333722351
"702","Myojo","Chicken Tanmen Flavour","Pack","Singapore",3.5,"",18.6531430725476
"703","Myojo","Extra Spicy Singapore Curry Big Bowl","Bowl","Singapore",5,"",19.4050805703508
"704","Myojo","La Ramen Spicy Mushroom Flavour","Pack","Singapore",4.5,"",20.5099480927565
"705","Myojo","Chicken Flavour","Pack","Singapore",3.75,"",18.7249612840232
"706","Sapporo Ichiban","Tonkotsu Ramen Artificially Flavored Tonkotsu White Chicken Broth","Pack","USA",5,"",18.1091774429856
"707","Ibumie","Always Mi Goreng Perisa Thai Tom Yam","Pack","Malaysia",2.5,"",17.3072976369121
"708","Vedan","Wei Wei A Instant Noodles Chicken Flavor","Bowl","Taiwan",0,"",5.48429626286515
"709","Itsuki","Hakata Ossyoi","Pack","Japan",5,"",18.2315315496654
"710","Nissin","Cup Noodles Minced Pork Flavour","Cup","Thailand",3.75,"",20.7356259060504
"711","Asia Gold","Instant Noodles With Beef Flavouring","Pack","Hungary",2.75,"",17.5490069670287
"712","Nissin","Soba Fried Noodles Chili","Pack","Germany",3.5,"",18.8050761170911
"713","Marutai","Kuroma-yu Tonkotsu Kumamoto Ramen","Bowl","Japan",4,"",19.5743848951772
"714","Yum Yum","Premier Bowl Instant Noodles Stewed Pork Flavour","Bowl","Thailand",4,"",19.6326891816528
"715","MyKuali","Penang Spicy Prawn Soup Noodle","Pack","Malaysia",5,"",18.5361069159915
"716","Mama","Shrimp Tom Yum Flavour Cup Noodles","Cup","Myanmar",3.5,"",20.5842401193768
"717","Nissin","Raoh Ramen Noodle Soup Umami Tonkotsu Flavor","Pack","USA",5,"",17.549403677713
"718","Baijia","Broad Noodle Pickled Vegetable Artificial Beef Flavor","Pack","China",0,"",8.09714576378671
"719","Ibumie","Always Mi Goreng Perisa Asli","Pack","Malaysia",3.75,"",18.7161440675933
"720","Conimex","Oriental Noodles Groene Curry","Cup","Netherlands",0.5,"",10.0872975872522
"721","Nissin","Cupo Noodle Pasta Style Vongole","Cup","Japan",2.75,"",18.6439353624381
"722","Mama","Instant Noodles chicken Green Curry Flavour","Pack","Cambodia",5,"",17.2937784877639
"723","Myojo","Wantan Men","Bowl","Japan",5,"",19.5795876553133
"724","IbuRamen","Mi Goreng Bento Noodles In A Box Shallot Teriyaki Flavor","Tray","USA",3.25,"",21.9440137788981
"725","Indomie","Instant Cup Noodles Mi Goreng Fried Noodles","Cup","Indonesia",5,"",18.4809638873348
"726","Daraz","Negi Man Ramen","Pack","Japan",3,"",18.1854309447071
"727","Mama","Chinese Kitchen Chinese Style Instant Noodles","Pack","Myanmar",3.5,"",17.9103371380279
"728","Bonasia","Instant Noodles Shrimp Flavour","Pack","Hungary",3.5,"",20.3861562429665
"729","Myojo","Udon Japanese Style Precooked Noodles With Soup Hot & Spicy Flavor","Bowl","USA",3.25,"",18.9042401440518
"730","Fujiwara","Snow Crab Flavour Shio Ramen","Pack","Japan",3.5,"",19.1080283355042
"731","Nissin","Raoh Ramen Noodle Soup Umami Miso Flavor","Pack","USA",4.5,"",19.6073707090238
"732","Pama","Instant Rice Vermicelli Clear Soup Flavour","Pack","Malaysia",3.5,"",17.9545786818016
"733","MyKuali","Penang Red tom Yum Goong Noodle (New Version)","Pack","Malaysia",5,"",18.6593665693914
"734","Conimex","Oriental Noodles Hot & Spicy","Pack","Netherlands",3,"",17.3067262068509
"735","Nissin","Chow Mein Savory Sauce And Restayrant Quality Noodles Roast Chicken Flavor ","Tray","USA",4.5,"",19.0047273625105
"736","Mama","Oriental Style Instant Noodles Shrimp Flavour","Pack","Bangladesh",3.25,"",18.6157120078774
"737","Seven & I","Gold Sumire Ramen","Bowl","Japan",5,"",17.6805476305413
"738","Forest Noodles","Sunbaked Noodles With Sesame Sauce","Pack","Taiwan",4.5,"",19.8113370595669
"739","Forest Noodles","Purple Sweet Potato Noodles With Taiwanese Sauce","Pack","Taiwan",5,"",18.9029825007745
"740","Forest Noodles","Sunbaked Noodles With Spicy Sauce","Pack","Taiwan",4,"",19.7763767914315
"741","Forest Noodles","Sweet Potato Noodles With Sesame Paste Sauce","Pack","Taiwan",3.25,"",18.9012372645354
"742","Vit's","Taste Of Malaysia Penang White Curry Ramen","Pack","Malaysia",5,"",17.4840114555013
"743","Vit's","Taste Of Malaysia Penang Asam Laksa Fried Instant Noodle","Pack","Malaysia",4.5,"",20.1275044779282
"744","Vit's","Taste Of Malaysia Penang Hokkien Mee Ramen","Pack","Malaysia",5,"",20.6514979138251
"745","Vit's","Taste Of Malaysia Penang White Curry Fried Instant Noodle","Pack","Malaysia",5,"",18.3868960220747
"746","Vit's","Taste Of Malaysia Penang Asam Laksa Ramen","Pack","Malaysia",5,"",17.1188833097684
"747","Vit's","Taste Of Malaysia Penang Hokkien Mee Fried Instant Noodle","Pack","Malaysia",5,"",17.2615277749124
"748","Vit's","Instant Noodles With Chicken Flavour","Pack","Malaysia",3.75,"",19.1934523495781
"749","Yum Yum","Instant Flat Shaped Noodles Boat Noodles Nam Tok Flavour","Pack","Thailand",3.5,"",18.1132843444959
"750","Kuriki","Plum Mayo Ramen","Pack","Japan",4,"",20.5104536897
"751","Tseng Noodles","Sichuan Pepper Flavor","Pack","Taiwan",4.75,"",18.9366405613288
"752","Tseng Noodles","Hu Sesame Flavor","Pack","Taiwan",5,"",19.3674088661437
"753","Tseng Noodles","Scallion With Sichuan Pepper  Flavor","Pack","Taiwan",5,"2016 #9",18.1608970606474
"754","Nongshim","Zha Wang ((Jjawang) Noodles With Chajang Sauce","Pack","South Korea",5,"",17.4988270317706
"755","Mama","Instant Noodles Stewed Beef Flavour","Pack","Cambodia",3.5,"",19.6041766397028
"756","Sichuan Baijia","Broad Noodle Chilli Oil Flavor","Pack","China",4.5,"",20.3539934312885
"757","Nongshim","Soon Veggie Noodle Soup","Cup","USA",5,"",18.4040268823143
"758","MyKuali","MeeKuali spicy Fried Noodle","Pack","Malaysia",4,"",19.2725568882527
"759","Mi Sedaap","Mi Kuah Rasa Baso Spesial","Pack","Indonesia",3.5,"",20.0926315792769
"760","Myojo","Udon Japanese Style Pre-Cooked Noodles With Soup Beef Flavor","Bowl","USA",3.25,"",19.4427819057027
"761","Ten-In","Veggie King Buddha Jump Instant Noodles","Bowl","Taiwan",1.5,"",14.197691049479
"762","Yum Yum","Premier Bowl Instant Noodles Suki Flavour","Bowl","Thailand",5,"",18.7843731188255
"763","Sugakiya Foods","Nara Tenri Shoyu Ramen","Bowl","Japan",4.5,"",18.2364385992751
"764","Hao Way","Penang Vegetarian Prawn Instant Bowl Noodles","Bowl","Malaysia",4,"",20.1946727404203
"765","Vifon","Asian Style Instant Noodles Artificial Beef Flavor","Bowl","Vietnam",3.25,"",19.5327747580252
"766","Nakaya Shouten","Hingya no Shio Ramen","Pack","Japan",4,"",20.9634928924384
"767","Koh Thai","Island Of Flavours Tom Yum Instant Noodles Soup","Pack","Netherlands",3,"",18.4634708388087
"768","Nissin","Soba Fried Noodles Curry","Pack","Germany",4.25,"",21.0336255418117
"769","Master Kong","Mushroom Instant Noodle","Bowl","China",4.25,"",19.8518913017321
"770","Conimex","Oriental Noodles Oosterse Groenten","Pack","Netherlands",3.5,"",18.9248994414341
"771","MyKuali","Penang White Curry Noodle (New Version)","Pack","Malaysia",5,"",19.3210206945205
"772","Marutai","Nagahama Hakata Tonkotsu Ramen","Bowl","Japan",4.75,"",17.5989986132271
"773","Mama","Vegetarian Instant Cup Noodle Tofu & Shiitake Flavour","Cup","Thailand",3.5,"",20.0748992144122
"774","Wai Wai","Tom Yum Goong Flavour Instant Noodle","Cup","Thailand",3.5,"",19.5302830702046
"775","Cintan","Mi Segera Mmm... Perisa Goreng Ala Indonesia","Pack","Malaysia",3.5,"",21.3235541530539
"776","Mama","Oriental Style Instant Noodles Tandoori Flavour","Pack","Bangladesh",4,"",19.9820448849286
"777","Thai Chef","Oriental Style Instant Noodles Shrimp Creamy Tom Yum Flavour","Pack","Hungary",4.75,"",17.9862869015662
"778","Mama","Vegetarian Instant Noodles Tom Yum Flavour","Pack","Thailand",4,"",21.4016171886724
"779","Nissin","Cup Noodles Ramen Noodles Ramen Noodle Soup Beef Flavor (New Package) ","Cup","USA",3.5,"",18.5185160264137
"780","Baijia","Spicy Artificial Fei Chang Instant Vermicelli (New Recipe)","Pack","China",3.75,"",18.0235613376422
"781","Crystal Noodle","Soup All Natural Hot & Sour","Cup","USA",0.25,"",7.61415913831971
"782","Thai Smile","Spring Onion Rice Noodle Soup Bowl","Bowl","USA",2.5,"",18.365826273112
"783","iMee","Instant Noodles Vegetable Flavour","Pack","Netherlands",2.75,"",18.5403122469156
"784","Wai Wai","Instant Rice Vermicelli Crab Flavour","Pack","Thailand",3.5,"",19.841761810725
"785","Fujiwara","Salty Taste Chanko Noodle","Pack","Japan",4.75,"",18.4218800225742
"786","Azami","Kimchee Flavour Noodle Soup","Pack","Canada",0,"",6.37896130427068
"787","Vit's","Shallot Chicken Instant Noodles","Pack","Malaysia",3,"",20.4308662468605
"788","Cintan","Mi Segera Mmm... Perisa Asam Laksa","Pack","Malaysia",3.5,"",20.7497520988381
"789","A1","Soup Spices Noodle Mee Rempahan Sup","Pack","Malaysia",3.5,"",20.94632619342
"790","Vit's","Tom Yam Instant Noodles","Pack","Malaysia",4.25,"",19.2423077331307
"791","Super","Kimchi","Cup","Malaysia",4.5,"",19.2298675709316
"792","Cintan","Mi Segera Mmm... Perisa Ayam Cendawan","Pack","Malaysia",3.5,"",19.1000339970403
"793","Super","Curry Flavour Noodles","Cup","Malaysia",3,"",17.6880041212257
"794","Pama","Kua Teaw Segera","Pack","Malaysia",4,"",20.6668737930495
"795","Nissin","Chow Mein Premium Savory Sauce And Restaurant Quality Noodles Sriracha Flavor","Tray","USA",4.25,"",20.1943313724019
"796","Super","Instant Noodles Black Pepper Crab Mi Goreng","Cup","Malaysia",3.5,"",19.1341526599439
"797","Torishi","Hakata Tonkotsu Ramen","Pack","Japan",5,"",18.4689079379397
"798","iMee","Instant Noodles Creamy Tom Yum Shrimp Flavour","Pack","Netherlands",4.5,"",20.2575669070269
"799","Western Family","Beef Flavour Instant Noodles","Pack","Canada",0,"",3.69117893206879
"800","MyKuali","Penang Hokkien Prawn Soup Rice Vermicelli (Bihun)","Bowl","Malaysia",5,"",18.5637031849968
"801","Pulmuone","Non-Fried Noodle Blackbean Sauce Noodle With Squid","Pack","South Korea",4.5,"",20.4054682975945
"802","Chering Chang","Instant Non-Fried Noodles Tomato Flavour","Pack","Taiwan",3.25,"",18.8047215591753
"803","JML","Spicy King Spicy Chicken","Pack","China",5,"",18.5985265212661
"804","JML","Supereme Bowl Noodles With Stewed Egg Spicy Flavour","Bowl","China",3.5,"",20.2256366064535
"805","JML","Spicy King Bowl Noodle Spicy Chicken","Bowl","China",5,"",17.5048333161041
"806","JML","Spicy King Bowl Noodle Spicy Beef","Bowl","China",4.25,"",20.7190604479886
"807","JML","Spicy King Spicy Pork","Pack","China",5,"",17.76066757559
"808","JML","Supreme Bowl Noodles With Stewed Egg Sour Beans With Pork Flavour","Bowl","China",4,"",21.0723924317717
"809","JML","Spicy King Spicy Beef","Pack","China",5,"",18.8620651840701
"810","JML","Supreme Bowl Noodles With Stewed Egg Braised Beef Flavour","Bowl","China",3.5,"",18.6369609131473
"811","JML","Spicy King Bowl Noodle Spicy Pork","Bowl","China",4.5,"",20.1580002645964
"812","Mamee","Chef Lontong Flavour","Pack","Malaysia",5,"",18.158519904583
"813","New Touch","Negi Miso No Ippin Ramen","Bowl","Japan",5,"",17.7017560768566
"814","Mama","Instant Noodles Shrimp Tom Yum Flavour","Pack","Cambodia",4,"",19.6642561661665
"815","Paldo","Bulnak Boeummyun King Noodle","Bowl","South Korea",3.5,"",19.7859395373742
"816","Nissin","Cup Noodles Ramen Noodles With Shrimp (New Package) ","Cup","USA",3.5,"",20.8671307872997
"817","Pirkka","Nuudeli Tom Yum Katkarapu","Pack","Finland",3.75,"",19.0961599401111
"818","Ishimaru","Tuna Flavor Ramen","Pack","Japan",4.5,"",17.9743819022191
"819","Mom's Dry Noodle","Sesame & Pepper","Pack","Taiwan",4,"",20.5648304305437
"820","Authentically Asian","Natural Quality Foods Pad Thai Noodle Bowl","Bowl","USA",1,"",11.9193763163362
"821","New Touch","Homestyle Tonjiru","Bowl","Japan",4.5,"",18.9733970733436
"822","Nissin","Cup Noodles Moo Manao Flavour","Cup","Thailand",4,"",20.0422919965231
"823","Vit's","Duck Instant Noodles","Pack","Malaysia",3.5,"",19.9833678945756
"824","iMee","Instant Noodles Beef Flavour","Pack","Netherlands",3.25,"",20.6938401609484
"825","A-Sha Dry Noodle","Veggie Noodle Carrot Noodle With Original Sauce","Pack","Taiwan",4.25,"",20.5534392457367
"826","Mama","Oriental Style Instant Noodles Hot & Spicy Flavour","Pack","Bangladesh",4,"",19.8361398083253
"827","Paldo","King Bowl Super Spicy Pan Stirfried Noodle","Bowl","South Korea",5,"",18.815534428589
"828","Thai Smile","Garlic Rice Noodle Soup Bowl","Bowl","USA",3.5,"",20.6745109497465
"829","Kuriki","Mayo Ramen","Pack","Japan",4.75,"",17.8779184456107
"830","Mom's Dry Noodle","Spicy & Sour Flavor","Pack","Taiwan",5,"",18.0209572581298
"831","Mi Sedaap","Instant Cup Mi Kuah Rasa Soto","Cup","Indonesia",5,"",19.7947074602086
"832","Yum Yum","Jumbo Instant Noodles Tom Yum Kung Creamy Flavour","Pack","Thailand",5,"",18.7124932766541
"833","Azami","Chili Chicken Flavour Noodle Soup","Cup","Canada",3,"",19.3918477327737
"834","Vit's","Curry Instant Noodles","Pack","Malaysia",3.5,"",18.5302682578244
"835","Marutai","Ramen Shoyu Taste","Bowl","Japan",4.25,"",17.9026374641044
"836","Unox","Good Noodles Kerrie","Pack","Netherlands",3.5,"",21.4252183209342
"837","A-Sha Dry Noodle","Veggie Noodle Baby Grass Noodle With Toona Sauce","Pack","Taiwan",5,"",16.3658381443317
"838","Mama","Rangers Snack Noodles Shrimp Tom Yum Flavour","Pack","Myanmar",4.5,"",18.1251492451152
"839","Aroi","Curry Me! Penang White Curry Stir-fry Noodle","Pack","Malaysia",4.5,"",18.9079287094006
"840","Myojo","Udon Japanese Style Pre-Cooked Noodles With Soup Chicken Flavor","Bowl","USA",2.5,"",17.8422727199427
"841","Master Kong","Braised Beef Noodle","Pack","China",4.25,"",19.766281857018
"842","Nissin","Raoh Tanrei Koku Shio Ramen","Bowl","Japan",4.5,"",18.5734986980177
"843","Little Cook","Instant Noodles Shrimp Tom Yum Flavour","Cup","Thailand",4.25,"",19.6319092140497
"844","Mi Sedaap","Instant Cup Mi Goreng","Cup","Indonesia",3.75,"",19.2970711730665
"845","Mamee","Monster Snek Mi Pedas","Pack","Malaysia",5,"",17.8617247613429
"846","Master Kong","Tomato Sauce Instant Noodle","Bowl","China",4,"",20.2962364448109
"847","Koka","Laksa Singapura","Pack","Singapore",4.25,"",18.4855861681507
"848","Bonasia","Instant Noodles Beef Flavour","Pack","Germany",3.75,"",19.1725811092341
"849","Super","Seafood Flavour Noodles","Cup","Malaysia",3.25,"",19.1040883377639
"850","Mama","Instant Noodles Creamy Shrimp Tom Yum Flavour","Pack","Cambodia",5,"",18.7116535469529
"851","Wu-Mu","BBQ Pork Flavor Chow Mein","Pack","Taiwan",4.5,"",20.7131135279042
"852","Vedan","Zan Vegetarian Instant Noodle Series Shiitake Mushroom Flavour","Cup","Taiwan",2.75,"",19.8274297006236
"853","Yamadai","Tenobe Somen","Bowl","Japan",3.25,"",20.643672125338
"854","Wei Lih","Jah Jan Men","Bowl","Taiwan",5,"",17.9734374536015
"855","Vina Acecook","Oh! Ricey Pho Ga","Bowl","Vietnam",3,"",19.0302701785959
"856","A-Sha Dry Noodle","Veggie Noodle Black Sesame Noodle","Pack","Taiwan",3.25,"",19.1872702565875
"857","Pirkka","Nuudeli Liha Nudlar Kott","Pack","Finland",3.5,"",20.5489985892233
"858","Baixiang Noodles","Artificial Beef Instant Noodles With Soup Base","Pack","China",3.75,"",19.691276825261
"859","CarJEN","Otentiq Cheezy Curry Instant Noodles","Pack","Malaysia",4.5,"",19.1413400017091
"860","Salam Mie","Mi Goreng Dengan Abon","Pack","Indonesia",4.25,"",18.5299091489935
"861","Mamee","Chef Lontong Flavour","Cup","Malaysia",5,"",18.6058106133264
"862","Wai Wai","Grilled Pork Flavour Instant Noodles","Bowl","Thailand",2.5,"",17.4789873815171
"863","Vina Acecook","Hao Hao Sate Onion Flavour","Cup","Vietnam",2.5,"",19.2123292868404
"864","Lee Fah Mee","Sarawak White Laksa Instant Noodle","Pack","Sarawak",4,"",20.863309346426
"865","Mama","Instant Noodles Egg Protein Noodles","Pack","Myanmar",3.5,"",21.2079448018658
"866","Yum Yum","Instant Noodles Minced Pork Flavor","Pack","Thailand",3.75,"",18.9600844397928
"867","Master Kong","Sichuan Hot Spicy Fish","Pack","China",3.75,"",22.0221176191539
"868","CarJEN","Otentiq Cheezy Mushroom Instant Noodles","Pack","Malaysia",5,"",19.3440643365441
"869","Sakurai Foods","Organic Miso Ramen","Pack","Japan",4.5,"",19.3868844860025
"870","Hao Way","Vegetarian Penang Laksa","Pack","Malaysia",4,"",20.4745435701511
"871","Chering Chang","Instant Non-Fried Noodles Vegetable Curry Flavor","Pack","Taiwan",5,"",17.142592924432
"872","Asia Gold","Instant Noodles With Shrimp Flavouring","Pack","Hungary",4,"",20.4798463469603
"873","The Kitchen Food","Sibu Instant Kampua Original","Pack","Sarawak",4,"",20.1199769746831
"874","Azami","Hot & Spicy Flavour Noodle Soup","Bowl","Canada",3.5,"",18.4323108310847
"875","Maggi","Hot Cup Goreng Perencah Cili Fiesta","Cup","Malaysia",4.75,"",19.1366526220817
"876","Premiere","Gold Bihun Kari Heritage Instant Rice Vermicelli","Pack","Malaysia",4.5,"",18.1788468681564
"877","Baixiang Noodles","Sour & Spicy Flavour","Pack","China",3.75,"",20.8363161314223
"878","7 Select/Nissin","Super Tom Yum Shrimp","Cup","Thailand",3.5,"",18.4361003129979
"879","Samyang Foods","Seafood Noodle","Cup","Japan",2.75,"",20.0065601728962
"880","Sakurai Foods","Organic Shoyu Ramen","Pack","Japan",4.25,"",18.1464494947308
"881","A-Sha Dry Noodle","Hakka Flat Noodle With Za Jiang Sauce","Pack","Taiwan",4,"",18.3795131639815
"882","Vit's","Mi goreng Pedas Chewy & springy","Pack","Malaysia",3.5,"",20.0477481537229
"883","Maruchan","Instant Lunch Chicken Tortilla Flavor Ramen Noodles With Vegetables","Cup","USA",4,"",19.3062087188662
"884","The Kitchen Food","Instant Kampua Dark Soy Sauce","Pack","Sarawak",5,"",18.2157123569255
"885","Mama","Cup Yentafo Tom Yum Mohfai","Cup","Thailand",5,"",19.3278379633449
"886","Mama","Cup Shrimp Creamy Tom Yum","Cup","Thailand",5,"",19.8218615340857
"887","Mama","Instant Rice Vermicelli Bihun Goreng Original Flavour","Pack","Thailand",4.75,"",20.6361610501633
"888","Mama","Instant Noodles coconut Milk Flavour","Cup","Myanmar",5,"",19.927445071518
"889","Mama","Oriental Style Instant Noodles Chicken Flavour","Pack","Bangladesh",3.25,"",19.982688382067
"890","Mama","Instant Cup Noodles Minced Prok Flavor","Cup","Thailand",3.5,"",20.4043863400542
"891","Wugudaochang","Sour Bamboo Shoot & Beef If Hot Pot Flavor Noodles","Bowl","China",4,"",20.3005450012037
"892","Wugudaochang","Tomato Beef Brisket Flavor Purple Potato Noodle","Pack","China",5,"2016 #7",19.0203283365425
"893","Wugudaochang","Sea Tangle & Sparerins Flavor Noodles","Bowl","China",3.75,"",21.3745364590477
"894","Wugudaochang","Chef's Grains Millet Noodle","Pack","China",3.75,"",21.2730060300051
"895","Wugudaochang","Chef's Grains Buckwheat Noodle","Pack","China",3.5,"",20.6951304687739
"896","Wugudaochang","Chef's Grains Pea Noodle","Pack","China",4,"",20.5760313593642
"897","Wugudaochang","Sichuan Pepper & Chicken Flavor Noodle","Bowl","China",4.5,"",19.8783232124876
"898","Wugudaochang","Sour Soup & Minced Meat Flavor Chef's Grain Naked Oat Noodles","Pack","China",5,"",18.1566041690833
"899","Wugudaochang","Sour Bamboo Shoot & Beef If Hot Pot Flavor Noodles","Pack","China",4,"",22.1870048373309
"900","Wugudaochang","Sea Tangle & Sparerins Flavor Noodles","Bowl","China",3.75,"",19.6629872392504
"901","Aroi","Curry Me! Penang White Curry Soup Noodle","Pack","Malaysia",4.5,"",20.9870472979224
"902","Ten-In","Veggie World Vegetarian Braised Beef Instant Noodles","Bowl","Taiwan",3.5,"",20.5353308258542
"903","Nongshim","Shin Black Spicy Po-Au-Feu Flavor (Mew Edition)","Pack","USA",5,"",18.6564418138692
"904","Paldo","Raobokki Noodle (Export Version)","Pack","South Korea",5,"",17.6448178340286
"905","A1","Emporer Herbs Chicken Noodle","Pack","Malaysia",4.25,"",19.8906037653097
"906","Baixiang Noodles","Sauerkraut Flavor","Pack","China",4.5,"",19.5580264578313
"907","Emart","Dare You! Habanero Ramen (New Edition)","Cup","South Korea",3.5,"",19.8665105986442
"908","Lishan Food Manufacturing","Black Cock Brand Vegetarian Chicken Noodle","Pack","Taiwan",3.5,"",20.2373585323261
"909","Azami","Chili Seafood Flavor Noodle Soup","Cup","Canada",3.25,"",21.2818594144835
"910","Ah Lai","Penang Favourite White Curry Rice Vermicelli","Pack","Malaysia",5,"",17.867295355487
"911","Tropicana Slim","Less Fat Noodles Grilled Chicken","Pack","Indonesia",3.75,"",19.0184040999213
"912","A-One","Mi Ly Instant Noodles Mi Chay Vegetarian Flavor","Cup","Vietnam",1.25,"",15.1643231791449
"913","Mama","Cup Rice Vermicelli With Clear Soup","Cup","Thailand",3.5,"",20.665227438588
"914","Deshome","Aloe Thin Noodles With Camelia Oil Vegetable Sauce Flavor","Pack","Taiwan",5,"",19.1665039708201
"915","Vifon","Curry Instant Noodle With Chicken","Cup","Vietnam",3,"",19.0211419894737
"916","Paldo Vina","Koreno Premium Mushroom Flavor","Pack","Vietnam",1.5,"",15.4198409303458
"917","Mamee","Oriental Noodles Prawn Flavor","Pack","Malaysia",2,"",15.4203745520366
"918","Vina Acecook","King Chef Authentic Kimchi Flavour","Pack","Vietnam",4,"",18.8705905353144
"919","Mama","Non-Fried Instant Noodles Ramen Tonkotsu Flavor","Pack","Thailand",5,"",17.9759961893494
"920","Chencun","Senior Food Rice Noodle Fragrant Peppery Beef","Cup","China",3.75,"",22.7198413184973
"921","Sau Tao","Ho Fan Wonton Soup Flavored","Pack","Hong Kong",3,"",18.8015863524288
"922","United","Xi Gon Satay Onion Flavor","Pack","Vietnam",2.75,"",20.7004590676974
"923","ChoripDong","Hurricane Rice Cake (Topokki)","Bowl","South Korea",5,"",17.5742126712501
"924","Shan","Shoop Instant Noodles Bombay Biryani Flavour","Pack","Pakistan",2.75,"",18.6916956004262
"925","Mama","JokCup Instant Porridge Soup Seafood Flavour","Cup","Thailand",3.5,"",19.3152747358673
"926","Baijia","Artificial Pickled Vegetable Beef Flavor","Pack","China",3,"",18.7010344289147
"927","MyOri","Malaysia Penang White Curry Noodle Super Spicy","Pack","Malaysia",5,"",17.9732089302015
"928","MyOri","Malaysia Penang Green Curry Rice Vermicelli","Pack","Malaysia",5,"",17.7193158551612
"929","MyOri","Malaysia Penang White Curry Noodle Original","Pack","Malaysia",5,"",16.9395705175736
"930","Ruski","Chicken Flavour Instant Noodles","Pack","Malaysia",3.75,"",18.3232388612654
